article;author;ressort;release_date;comments;recensions;length
63;15;2;19970103;1126;710;1656
64;15;2;19970103;147;1834;1165
65;15;2;19970103;508;162;1839
66;15;2;19970103;552;132;1320
67;15;2;19970103;397;1426;1302
68;15;2;19970103;1768;844;1042
69;15;2;19970103;264;1655;2127
70;15;2;19970103;885;1002;1333
71;15;2;19970103;335;1069;1372
72;15;2;19970103;1461;966;2443
73;15;2;19970103;1251;1479;1293
74;15;2;19970103;201;974;1018
75;15;2;19970103;605;1249;1240
76;41;3;19970103;993;1202;3292
77;42;3;19970103;1983;1030;3252
78;43;3;19970103;1956;1873;2798
79;44;3;19970103;755;332;5355
80;15;3;19970103;675;644;946
81;45;3;19970103;20;1314;9255
82;46;3;19970103;1188;175;5044
83;47;3;19970103;528;1963;6509
84;15;3;19970103;4;1749;980
85;15;3;19970103;1127;284;969
86;48;3;19970103;1779;1873;6202
87;15;3;19970103;355;1864;1054
88;49;3;19970103;142;815;6202
89;50;3;19970103;1337;968;3041
90;51;3;19970103;1298;1168;10944
91;4;3;19970103;26;969;7335
92;3;3;19970103;1276;445;6372
93;46;5;19970103;1052;41;11937
94;52;5;19970103;1421;1635;3077
95;53;5;19970103;747;1812;7716
96;54;5;19970103;410;1487;6980
97;55;5;19970103;1335;672;18285
98;15;5;19970103;175;312;1041
99;15;5;19970103;364;1196;667
100;15;5;19970103;1050;92;745
101;15;5;19970103;400;1939;1695
102;15;5;19970103;1178;72;1658
103;36;4;19970103;960;109;10448
104;15;4;19970103;1607;397;1850
105;56;4;19970103;607;115;19778
106;29;4;19970103;1963;1019;11267
107;57;4;19970103;1887;1906;3236
108;58;4;19970103;1942;1548;3354
109;59;4;19970103;1124;786;7990
110;15;4;19970103;1609;1947;1230
111;60;4;19970103;1641;1278;3255
112;15;1;19970110;579;1737;1150
113;61;1;19970110;732;1572;3953
114;15;1;19970110;1205;623;844
115;62;1;19970110;1637;1637;7979
116;15;1;19970110;118;1080;1290
117;15;1;19970110;1829;1756;321
118;51;1;19970110;1610;756;7970
119;63;1;19970110;22;555;7147
120;22;1;19970110;1553;1741;4496
121;30;1;19970110;1526;1270;4716
122;4;1;19970110;78;157;5673
123;64;1;19970110;545;217;1620
124;65;1;19970110;791;829;5158
125;1;1;19970110;754;1288;2943
126;66;1;19970110;1605;1083;5361
127;67;1;19970110;907;1590;3819
128;68;1;19970110;1146;397;22624
129;15;1;19970110;0;0;1130
130;39;2;19970110;884;1020;4615
131;69;2;19970110;1316;1150;5567
132;70;2;19970110;1301;532;5398
133;71;2;19970110;836;722;5972
134;72;2;19970110;1927;1946;5354
135;13;2;19970110;139;1038;4222
136;73;3;19970110;375;1852;3527
137;21;3;19970110;785;1338;2728
138;71;3;19970110;1149;567;5250
139;74;3;19970110;811;195;4876
140;75;3;19970110;138;636;11027
141;18;3;19970110;1954;1534;5549
142;76;3;19970110;1478;1770;4117
143;15;3;19970110;361;1212;2592
144;15;3;19970110;400;1651;1149
145;77;3;19970110;9;66;6994
146;50;3;19970110;1513;562;3282
147;50;3;19970110;1065;1362;6433
148;41;3;19970110;1714;1924;4696
149;15;3;19970110;1427;1825;976
150;15;3;19970110;38;1946;1430
151;15;3;19970110;905;939;945
152;48;3;19970110;1982;145;9811
153;78;5;19970110;1192;562;1815
154;79;5;19970110;404;1559;3606
155;80;5;19970110;520;397;3169
156;52;5;19970110;236;1463;14394
157;15;5;19970110;0;0;2229
158;15;5;19970110;1648;251;2214
159;15;5;19970110;810;370;2095
160;15;5;19970110;244;1755;1054
161;81;4;19970110;511;1616;3750
162;82;4;19970110;948;305;12924
163;15;4;19970110;1379;525;978
164;15;4;19970110;611;1748;1421
165;83;4;19970110;1132;928;6902
166;31;4;19970110;227;1862;4259
167;60;4;19970110;127;1540;3095
168;5;1;19970117;1294;1825;3024
169;15;1;19970117;680;91;1002
170;15;1;19970117;1748;628;950
171;84;1;19970117;517;732;11582
172;15;1;19970117;1799;1305;868
173;30;1;19970117;1292;228;2619
174;1;1;19970117;49;1722;4875
175;79;1;19970117;1375;12;1385
176;6;1;19970117;522;344;1653
177;34;1;19970117;666;1996;11691
178;85;1;19970117;1873;194;4519
179;86;1;19970117;23;382;3718
180;87;1;19970117;246;873;2054
181;88;1;19970117;1099;455;4024
182;69;1;19970117;416;1310;8110
183;89;1;19970117;1638;1522;10863
184;64;1;19970117;1015;1427;3151
185;2;1;19970117;1273;803;18811
186;15;1;19970117;0;0;1111
187;90;2;19970117;1964;1173;26178
188;21;3;19970117;834;629;9798
189;23;3;19970117;112;1635;3565
190;50;3;19970117;1578;1136;3466
191;91;3;19970117;292;1582;4991
192;92;3;19970117;1898;1456;5304
193;93;3;19970117;453;439;3805
194;48;3;19970117;59;429;10280
195;15;3;19970117;978;579;2696
196;15;3;19970117;1683;1309;1092
197;94;3;19970117;603;912;6732
198;95;3;19970117;192;403;6019
199;15;3;19970117;314;787;898
200;15;3;19970117;9;1598;971
201;23;3;19970117;1061;778;2878
202;15;3;19970117;1816;874;1057
203;96;3;19970117;1979;1573;29573
204;7;3;19970117;907;1310;2926
205;78;5;19970117;1511;705;2945
206;15;5;19970117;194;1176;820
207;15;5;19970117;411;171;694
208;15;5;19970117;932;1663;935
209;15;5;19970117;1744;1917;2398
210;97;5;19970117;679;1377;11532
211;53;5;19970117;1982;107;3828
212;98;5;19970117;975;766;4517
213;99;5;19970117;1070;100;8750
214;100;4;19970117;1727;307;3751
215;101;4;19970117;104;90;5370
216;15;4;19970117;1490;156;1779
217;102;4;19970117;1192;1045;5803
218;36;4;19970117;1384;1384;4513
219;56;4;19970117;1980;1184;9069
220;82;4;19970117;1935;561;7141
221;27;4;19970117;573;543;5496
222;60;4;19970117;416;904;2880
223;29;4;19970117;444;737;3242
224;103;1;19970124;899;1851;8205
225;84;1;19970124;1656;1581;8292
226;15;1;19970124;791;209;1542
227;15;1;19970124;1635;702;1025
228;63;1;19970124;1795;1342;6345
229;11;1;19970124;317;549;7437
230;4;1;19970124;1074;1765;4711
231;104;1;19970124;1947;1266;3061
232;1;1;19970124;1318;1680;2053
233;105;1;19970124;1220;7;3558
234;106;1;19970124;1815;1169;5649
235;15;1;19970124;0;0;1113
236;15;1;19970124;0;0;1121
237;69;2;19970124;921;634;25414
238;15;2;19970124;155;1602;1888
239;23;3;19970124;1330;391;10990
240;107;3;19970124;593;1696;3429
241;22;3;19970124;1267;1147;2749
242;48;3;19970124;1437;1208;4991
243;95;3;19970124;1690;1912;12818
244;108;3;19970124;1174;151;4969
245;75;3;19970124;671;208;3768
246;15;3;19970124;1536;802;2525
247;15;3;19970124;887;251;1122
248;109;3;19970124;1534;1499;7003
249;15;3;19970124;1463;1484;1041
250;15;3;19970124;985;9;988
251;22;3;19970124;1254;816;5427
252;21;3;19970124;1697;114;6771
253;15;3;19970124;88;1962;1129
254;50;3;19970124;1206;1244;3065
255;107;3;19970124;167;174;10700
256;110;3;19970124;1666;1038;4175
257;76;3;19970124;477;1503;8378
258;111;3;19970124;762;1136;9972
259;49;3;19970124;1674;833;10957
260;80;5;19970124;618;82;11851
261;112;5;19970124;1949;1465;10468
262;53;5;19970124;183;114;4184
263;98;5;19970124;23;854;4928
264;113;5;19970124;1929;991;9613
265;15;5;19970124;1723;410;903
266;15;5;19970124;703;753;939
267;15;5;19970124;1974;1090;1349
268;15;5;19970124;1797;1662;507
269;15;5;19970124;1789;44;664
270;15;5;19970124;79;370;500
271;114;4;19970124;50;1005;3840
272;15;4;19970124;1148;445;1465
273;115;4;19970124;1824;122;8473
274;15;4;19970124;1340;823;1089
275;116;4;19970124;525;1601;3763
276;15;4;19970124;1200;986;1012
277;117;4;19970124;513;1343;8432
278;118;4;19970124;264;1380;11449
279;119;4;19970124;6;68;5180
280;120;4;19970124;249;932;2574
281;60;4;19970124;1349;1349;3249
282;39;1;19970131;1158;1793;4166
283;15;1;19970131;1496;861;1110
284;11;1;19970131;1148;1327;5451
285;15;1;19970131;1616;1969;1088
286;121;1;19970131;1799;1465;4609
287;87;1;19970131;1197;1630;2004
288;122;1;19970131;874;37;4319
289;123;1;19970131;1837;343;4444
290;34;1;19970131;1619;910;11569
291;2;1;19970131;293;948;3745
292;124;1;19970131;166;929;8946
293;89;1;19970131;625;1580;4731
294;125;1;19970131;726;358;8084
295;50;1;19970131;1795;1474;10206
296;126;1;19970131;531;734;17566
297;15;1;19970131;0;0;1173
298;15;1;19970131;0;0;1111
299;127;2;19970131;1974;1505;10181
300;128;2;19970131;1276;556;4132
301;20;2;19970131;1999;473;7359
302;95;3;19970131;1507;517;3548
303;75;3;19970131;1191;1286;5031
304;51;3;19970131;1022;1539;5467
305;129;3;19970131;1647;1804;3370
306;17;3;19970131;302;1794;10146
307;15;3;19970131;1896;1683;1159
308;109;3;19970131;149;459;7172
309;15;3;19970131;1156;602;2614
310;15;3;19970131;362;492;1060
311;92;3;19970131;1035;1362;6544
312;43;3;19970131;1740;721;5443
313;15;3;19970131;324;949;1049
314;23;3;19970131;171;1622;3116
315;15;3;19970131;1882;318;987
316;130;3;19970131;1478;287;4230
317;95;3;19970131;45;1611;9502
318;131;3;19970131;366;1045;4284
319;93;3;19970131;178;977;8628
320;47;3;19970131;189;729;8579
321;70;3;19970131;999;498;8168
322;132;5;19970131;1225;1568;9123
323;133;5;19970131;1695;766;3642
324;15;5;19970131;1527;272;1512
325;15;5;19970131;938;54;985
326;15;5;19970131;591;869;310
327;15;5;19970131;1084;1913;969
328;15;5;19970131;1983;359;1235
329;15;5;19970131;1651;914;1227
330;53;5;19970131;580;566;10499
331;83;4;19970131;916;1774;3663
332;56;4;19970131;1988;1854;11517
333;134;4;19970131;1636;1413;11724
334;15;4;19970131;512;501;2300
335;15;4;19970131;941;1211;1294
336;135;4;19970131;53;1286;3626
337;119;4;19970131;1026;484;8177
338;136;4;19970131;1473;918;7124
339;125;4;19970131;178;1723;4011
340;137;4;19970131;1170;135;2669
341;138;4;19970131;60;585;2285
342;60;4;19970131;1417;1978;3073
343;28;4;19970131;1055;1300;4380
344;102;4;19970131;1815;868;4477
345;139;1;19970207;1671;629;3549
346;140;1;19970207;1672;656;4530
347;15;1;19970207;234;1971;675
348;34;1;19970207;1510;912;4104
349;15;1;19970207;88;400;798
350;15;1;19970207;99;194;673
351;11;1;19970207;1497;254;16431
352;63;1;19970207;1689;1126;2020
353;37;1;19970207;925;1201;8602
354;1;1;19970207;270;807;7609
355;141;1;19970207;1259;106;8263
356;7;1;19970207;1928;253;8236
357;142;1;19970207;1143;1927;4075
358;1;1;19970207;1420;1583;1935
359;143;1;19970207;833;1499;3746
360;144;1;19970207;898;972;7309
361;145;1;19970207;1137;113;9894
362;41;1;19970207;1042;31;2233
363;146;1;19970207;358;1911;5739
364;147;1;19970207;967;1324;4836
365;148;1;19970207;1476;150;16746
366;5;1;19970207;1230;1376;16780
367;15;1;19970207;0;0;1154
368;62;2;19970207;1743;1006;7955
369;62;2;19970207;1677;818;15806
370;149;2;19970207;1332;1225;1565
371;15;2;19970207;614;1588;1560
372;15;2;19970207;846;551;1577
373;15;2;19970207;349;611;1545
374;150;2;19970207;913;1156;7225
375;95;3;19970207;1632;380;3505
376;151;3;19970207;1776;417;3264
377;92;3;19970207;165;562;4892
378;19;3;19970207;885;1603;5390
379;74;3;19970207;714;881;8709
380;15;3;19970207;30;970;2513
381;152;3;19970207;684;992;6142
382;15;3;19970207;956;886;1136
383;153;3;19970207;1771;1905;11949
384;15;3;19970207;965;1642;1009
385;23;3;19970207;1932;426;3085
386;15;3;19970207;1757;1299;1058
387;15;3;19970207;1954;1453;1112
388;20;3;19970207;1195;1959;6482
389;48;3;19970207;1194;1318;7809
390;107;3;19970207;1783;571;7316
391;22;3;19970207;1389;367;4175
392;154;3;19970207;195;1867;8075
393;154;3;19970207;140;191;9631
394;155;3;19970207;404;1068;9249
395;156;3;19970207;645;1569;3358
396;52;5;19970207;1356;1897;3388
397;15;5;19970207;607;1362;1591
398;4;5;19970207;1862;164;7483
399;157;5;19970207;1784;1835;2645
400;158;5;19970207;851;146;9454
401;127;5;19970207;376;909;4013
402;159;5;19970207;622;827;5453
403;15;5;19970207;331;1705;620
404;15;5;19970207;626;97;477
405;15;5;19970207;1294;1116;750
406;160;4;19970207;30;215;19750
407;114;4;19970207;1550;933;3833
408;15;4;19970207;1264;1913;1627
409;15;4;19970207;157;832;1280
410;161;4;19970207;669;453;2159
411;162;4;19970207;869;1759;14293
412;163;4;19970207;813;1002;2459
413;57;4;19970207;1622;508;2633
414;164;4;19970207;734;1357;2769
415;28;4;19970207;1700;256;4638
416;165;4;19970207;98;908;1602
417;82;4;19970207;623;1103;6826
418;60;4;19970207;286;711;3181
419;61;1;19970214;1214;1829;6838
420;125;1;19970214;297;1609;7738
421;166;1;19970214;434;622;2200
422;30;1;19970214;951;1446;8303
423;11;1;19970214;1271;1939;9253
424;35;1;19970214;400;159;2209
425;1;1;19970214;1852;1875;5854
426;64;1;19970214;1968;468;3278
427;167;1;19970214;1327;1994;6329
428;34;1;19970214;1132;1900;3311
429;62;1;19970214;817;558;9429
430;168;1;19970214;160;1816;2846
431;87;1;19970214;93;1030;1966
432;15;1;19970214;1810;1063;1915
433;169;1;19970214;1899;589;3132
434;170;1;19970214;1847;262;17763
435;15;1;19970214;0;0;1172
436;15;1;19970214;0;0;1161
437;15;1;19970214;0;0;1091
438;70;2;19970214;368;554;25906
439;19;3;19970214;1931;1855;3297
440;107;3;19970214;517;848;4225
441;51;3;19970214;152;543;3042
442;47;3;19970214;1033;1906;3184
443;14;3;19970214;1725;1324;9254
444;15;3;19970214;1388;596;2567
445;77;3;19970214;1276;1482;6494
446;15;3;19970214;929;1423;1168
447;15;3;19970214;290;757;1117
448;15;3;19970214;870;1030;1071
449;15;3;19970214;1860;650;984
450;50;3;19970214;1309;289;3085
451;18;3;19970214;1781;1608;6662
452;23;3;19970214;573;1472;5426
453;108;3;19970214;1932;825;12038
454;171;3;19970214;763;308;3348
455;48;3;19970214;3;144;2434
456;44;3;19970214;1532;380;10700
457;172;3;19970214;1168;1478;5782
458;62;5;19970214;468;1038;3761
459;52;5;19970214;1255;284;15605
460;80;5;19970214;1039;1097;3964
461;72;5;19970214;800;332;5633
462;15;5;19970214;1716;344;718
463;15;5;19970214;208;1259;483
464;53;5;19970214;1166;1963;3494
465;173;5;19970214;1739;864;3736
466;15;5;19970214;1251;1833;469
467;25;4;19970214;1094;1414;3731
468;15;4;19970214;1325;1944;1287
469;15;6;19970214;0;0;2282
470;161;4;19970214;818;178;8979
471;102;4;19970214;1800;603;3077
472;101;4;19970214;316;924;12664
473;29;4;19970214;1107;1033;6088
474;174;4;19970214;459;1291;5831
475;60;4;19970214;902;467;2788
476;7;1;19970221;1049;1432;6985
477;41;1;19970221;86;27;3879
478;15;1;19970221;1732;461;1078
479;15;1;19970221;854;1044;748
480;15;1;19970221;1582;1731;567
481;84;1;19970221;48;1392;16427
482;175;1;19970221;980;1262;11993
483;87;1;19970221;1302;710;8128
484;1;1;19970221;560;1922;5259
485;146;1;19970221;1209;1941;3568
486;176;1;19970221;371;183;5912
487;177;1;19970221;551;496;3703
488;178;1;19970221;20;111;3569
489;179;1;19970221;1087;210;3798
490;11;1;19970221;756;1209;2154
491;15;1;19970221;0;0;1145
492;180;1;19970221;0;0;1134
493;69;2;19970221;1074;771;31987
494;15;2;19970221;549;1274;2154
495;50;3;19970221;1322;1943;3612
496;181;3;19970221;665;1979;4632
497;22;3;19970221;311;1411;2506
498;19;3;19970221;875;96;4624
499;75;3;19970221;1087;620;4381
500;74;3;19970221;287;1661;5663
501;109;3;19970221;1534;1450;7119
502;15;3;19970221;731;578;2521
503;15;3;19970221;637;1882;1167
504;15;3;19970221;1170;53;890
505;23;3;19970221;1242;1342;5847
506;23;3;19970221;1633;686;2938
507;15;3;19970221;1824;1787;1057
508;15;3;19970221;65;1442;993
509;76;3;19970221;1410;284;9182
510;48;3;19970221;426;1103;2946
511;48;3;19970221;1474;1563;7454
512;22;3;19970221;288;1334;3871
513;133;5;19970221;1442;151;3681
514;182;5;19970221;569;334;4687
515;15;5;19970221;302;783;754
516;15;5;19970221;133;1988;892
517;15;5;19970221;826;1304;728
518;15;5;19970221;355;1759;935
519;30;5;19970221;622;985;9110
520;15;5;19970221;21;825;1536
521;112;5;19970221;620;737;2462
522;53;5;19970221;1345;1746;4129
523;15;5;19970221;1638;1565;1191
524;183;5;19970221;454;394;4533
525;184;5;19970221;501;1984;7442
526;56;4;19970221;1861;157;3654
527;15;4;19970221;1391;1915;1418
528;15;4;19970221;924;942;870
529;15;4;19970221;1006;351;1441
530;185;4;19970221;1638;546;13047
531;25;4;19970221;1440;1612;7411
532;26;4;19970221;1574;1724;5348
533;82;4;19970221;895;141;5058
534;60;4;19970221;1224;4;3096
535;29;4;19970221;1010;1901;3249
536;15;4;19970221;1793;596;2799
537;186;1;19970228;123;988;14512
538;23;1;19970228;577;1199;4101
539;87;1;19970228;1341;38;8227
540;15;1;19970228;676;1044;470
541;15;1;19970228;1836;974;1097
542;147;1;19970228;0;0;7200
543;11;1;19970228;454;1354;15592
544;15;1;19970228;815;253;3050
545;140;1;19970228;1116;1580;11738
546;176;1;19970228;1933;1227;8889
547;187;1;19970228;1915;430;10657
548;11;1;19970228;1655;1132;2133
549;5;1;19970228;305;338;2729
550;4;1;19970228;1891;633;5790
551;158;1;19970228;1778;824;23075
552;15;1;19970228;0;0;1143
553;15;1;19970228;0;0;1134
554;15;2;19970228;1172;1763;1385
555;63;2;19970228;1856;684;12339
556;12;2;19970228;952;1444;7571
557;72;2;19970228;1427;1658;15512
558;75;3;19970228;1220;1438;3580
559;73;3;19970228;1825;392;10774
560;22;3;19970228;1685;42;5004
561;51;3;19970228;1760;1884;2775
562;188;3;19970228;1793;991;5796
563;22;3;19970228;29;887;5313
564;15;3;19970228;665;714;2445
565;15;3;19970228;1275;356;1159
566;189;3;19970228;1497;1754;7152
567;15;3;19970228;743;851;2382
568;95;3;19970228;1539;1402;5965
569;15;3;19970228;712;28;1074
570;50;3;19970228;1687;710;2779
571;97;3;19970228;668;327;9732
572;190;3;19970228;749;999;11479
573;191;3;19970228;911;55;5769
574;80;5;19970228;1794;1327;2180
575;127;5;19970228;1148;1523;11143
576;39;5;19970228;1336;1338;21196
577;145;5;19970228;1736;1117;5156
578;192;5;19970228;1372;768;4935
579;100;4;19970228;836;1866;3592
580;15;4;19970228;1183;1187;1063
581;15;4;19970228;186;1834;1345
582;15;4;19970228;399;1335;908
583;193;4;19970228;1214;332;12046
584;15;4;19970228;1746;1669;3532
585;15;4;19970228;178;617;1939
586;194;4;19970228;1959;588;7276
587;28;4;19970228;152;1362;12681
588;15;4;19970228;1407;1568;5925
589;15;4;19970228;1095;794;4281
590;60;4;19970228;479;1044;3050
591;195;4;19970228;1020;753;4529
592;25;4;19970228;1064;641;2858
593;15;1;19970307;150;526;989
594;63;1;19970307;384;895;7858
595;15;1;19970307;1847;1559;1039
596;196;1;19970307;1198;560;8327
597;15;1;19970307;1310;906;804
598;30;1;19970307;1850;1615;17785
599;15;1;19970307;1372;326;1329
600;87;1;19970307;467;1107;2099
601;15;1;19970307;1050;465;1350
602;197;1;19970307;1474;1461;2179
603;11;1;19970307;50;1905;9504
604;140;1;19970307;816;317;2696
605;125;1;19970307;16;1679;8784
606;125;1;19970307;1489;154;4533
607;2;1;19970307;268;755;3639
608;198;1;19970307;108;758;7776
609;146;1;19970307;1050;264;6088
610;145;1;19970307;506;777;6657
611;199;1;19970307;645;1194;3049
612;64;1;19970307;1100;1877;9067
613;64;1;19970307;146;1093;2499
614;90;1;19970307;1672;1788;8928
615;147;1;19970307;80;966;8440
616;200;1;19970307;1118;126;3310
617;38;1;19970307;1223;50;5002
618;87;1;19970307;1275;308;2147
619;171;1;19970307;915;1405;3832
620;41;3;19970307;1301;964;12345
621;91;3;19970307;1995;857;3400
622;93;3;19970307;1095;759;5342
623;201;3;19970307;178;1961;3010
624;74;3;19970307;1735;1023;4343
625;50;3;19970307;1681;6;2376
626;48;3;19970307;1593;1567;2920
627;23;3;19970307;1904;206;8022
628;202;3;19970307;327;1326;8859
629;156;3;19970307;958;429;3017
630;21;3;19970307;201;575;7403
631;95;3;19970307;954;1280;3733
632;47;3;19970307;35;431;13901
633;15;3;19970307;895;405;784
634;76;3;19970307;896;1603;7021
635;15;3;19970307;1762;140;2550
636;203;3;19970307;992;666;6549
637;15;3;19970307;1266;676;1109
638;23;3;19970307;7;1371;2989
639;15;3;19970307;1237;772;1104
640;15;3;19970307;825;1389;1124
641;22;3;19970307;1103;409;5978
642;15;3;19970307;1593;1160;846
643;50;3;19970307;883;1867;11644
644;51;3;19970307;945;1164;9254
645;93;3;19970307;284;1644;10686
646;204;3;19970307;959;482;8325
647;108;3;19970307;954;1076;7447
648;15;5;19970307;1567;1899;493
649;127;5;19970307;1043;396;3772
650;205;4;19970307;686;1304;28533
651;36;4;19970307;577;1684;12708
652;81;4;19970307;287;1247;15718
653;25;4;19970307;1119;1319;4830
654;117;4;19970307;215;1277;5836
655;15;4;19970307;1285;1231;2327
656;15;4;19970307;1951;934;1257
657;59;4;19970307;1843;518;10128
658;100;4;19970307;1745;1152;10998
659;206;4;19970307;1010;1464;2157
660;60;4;19970307;601;959;3122
661;138;4;19970307;1469;136;2304
662;56;4;19970307;1263;1116;5349
663;61;1;19970314;936;134;6084
664;139;1;19970314;847;1951;7143
665;15;1;19970314;883;879;925
666;62;1;19970314;1948;253;8064
667;15;1;19970314;1157;1252;939
668;30;1;19970314;885;193;7753
669;15;1;19970314;1582;156;945
670;11;1;19970314;340;1149;16996
671;15;1;19970314;471;1868;1117
672;35;1;19970314;320;694;11073
673;15;1;19970314;794;859;1091
674;15;1;19970314;1373;215;1095
675;37;1;19970314;411;425;7508
676;67;1;19970314;153;1757;4835
677;207;1;19970314;343;369;11436
678;17;1;19970314;747;944;3610
679;64;1;19970314;225;993;12905
680;64;1;19970314;829;1511;3407
681;125;1;19970314;1063;1986;3626
682;32;1;19970314;1289;1266;2182
683;208;1;19970314;638;1870;5693
684;7;1;19970314;1308;883;10202
685;209;1;19970314;1113;1801;3130
686;88;1;19970314;1660;181;3964
687;210;1;19970314;318;1600;5772
688;87;1;19970314;1490;469;2012
689;211;1;19970314;1201;220;18858
690;12;2;19970314;1033;1193;24827
691;98;2;19970314;167;69;4945
692;15;3;19970314;1025;1674;1890
693;50;3;19970314;1520;727;3579
694;18;3;19970314;1390;66;7046
695;93;3;19970314;1790;609;2627
696;19;3;19970314;1949;898;4476
697;41;3;19970314;397;1251;2971
698;18;3;19970314;1586;1701;8464
699;15;3;19970314;368;1030;1912
700;47;3;19970314;1546;1901;4533
701;212;3;19970314;462;1523;9112
702;21;3;19970314;1005;704;11470
703;152;3;19970314;154;942;7096
704;15;3;19970314;1109;252;2516
705;15;3;19970314;44;1977;1124
706;49;3;19970314;1847;371;6010
707;15;3;19970314;1447;1046;1003
708;15;3;19970314;300;1744;963
709;50;3;19970314;743;775;2896
710;15;3;19970314;1190;277;917
711;75;3;19970314;1390;444;8758
712;213;3;19970314;1377;1035;9446
713;203;3;19970314;454;1993;4804
714;204;3;19970314;15;464;9351
715;51;3;19970314;1444;1050;7906
716;93;3;19970314;0;0;3624
717;214;3;19970314;228;280;6059
718;215;3;19970314;558;1663;8873
719;39;5;19970314;1764;1083;3506
720;216;5;19970314;1789;1050;11073
721;15;5;19970314;1671;56;1038
722;15;5;19970314;377;1318;866
723;15;5;19970314;1111;266;946
724;217;5;19970314;1456;709;2709
725;218;5;19970314;1033;1240;10103
726;219;4;19970314;1951;242;8041
727;220;4;19970314;1799;1621;11788
728;15;4;19970314;1778;153;1190
729;15;4;19970314;816;1827;1478
730;15;4;19970314;403;1832;1446
731;28;4;19970314;1577;754;13764
732;120;4;19970314;469;1084;18925
733;221;4;19970314;1426;984;3903
734;222;4;19970314;1492;1353;10382
735;114;4;19970314;545;1586;3226
736;223;4;19970314;1647;616;3164
737;82;4;19970314;616;375;4196
738;60;4;19970314;1746;1214;3091
739;224;4;19970314;403;285;3982
740;139;1;19970321;302;1811;4135
741;11;1;19970321;1380;1711;7177
742;15;1;19970321;1977;340;1146
743;15;1;19970321;903;633;940
744;87;1;19970321;1372;1292;8262
745;145;1;19970321;422;426;5140
746;61;1;19970321;1840;1341;2637
747;30;1;19970321;433;1529;4924
748;225;1;19970321;576;545;11896
749;226;3;19970321;0;0;13627
750;227;1;19970321;1163;637;5452
751;228;1;19970321;1327;151;2246
752;1;1;19970321;823;1470;2097
753;229;1;19970321;1545;1774;4551
754;15;1;19970321;757;311;2134
755;4;1;19970321;481;304;6719
756;17;1;19970321;1041;1949;10155
757;15;1;19970321;257;1542;15808
758;1;1;19970321;1495;1165;2092
759;15;1;19970321;0;0;1030
760;15;1;19970321;0;0;1158
761;84;2;19970321;249;1475;15794
762;76;2;19970321;1932;1190;10058
763;7;2;19970321;254;1843;7745
764;17;3;19970321;206;46;3155
765;18;3;19970321;1546;930;7369
766;15;3;19970321;1188;1446;3877
767;43;3;19970321;1142;1429;4357
768;22;3;19970321;134;1352;2362
769;15;3;19970321;1624;1431;1112
770;230;3;19970321;287;290;6532
771;15;3;19970321;825;1659;2432
772;15;3;19970321;521;650;1139
773;95;3;19970321;101;901;6659
774;15;3;19970321;1149;717;1095
775;15;3;19970321;1173;735;1084
776;23;3;19970321;1175;1536;3204
777;93;3;19970321;1492;450;4792
778;154;3;19970321;1611;1769;6072
779;204;3;19970321;1912;1718;3771
